	ID	Window	GC_Content	Number of Reads
8508	NZ_CP009617.1	(850800, 850899)	46.0	84
8509	NZ_CP009617.1	(850900, 850999)	44.0	104
8510	NZ_CP009617.1	(851000, 851099)	31.0	115
8511	NZ_CP009617.1	(851100, 851199)	33.0	100
8512	NZ_CP009617.1	(851200, 851299)	42.0	117
8513	NZ_CP009617.1	(851300, 851399)	45.0	93
8514	NZ_CP009617.1	(851400, 851499)	39.0	118
8515	NZ_CP009617.1	(851500, 851599)	39.0	100
8516	NZ_CP009617.1	(851600, 851699)	42.0	97
8517	NZ_CP009617.1	(851700, 851799)	46.0	94
8518	NZ_CP009617.1	(851800, 851899)	46.0	98
8519	NZ_CP009617.1	(851900, 851999)	47.0	81
8520	NZ_CP009617.1	(852000, 852099)	39.0	104
8521	NZ_CP009617.1	(852100, 852199)	46.0	84
8522	NZ_CP009617.1	(852200, 852299)	52.0	80
8523	NZ_CP009617.1	(852300, 852399)	47.0	93
8524	NZ_CP009617.1	(852400, 852499)	36.0	108
8525	NZ_CP009617.1	(852500, 852599)	32.0	107
8526	NZ_CP009617.1	(852600, 852699)	41.0	96
8527	NZ_CP009617.1	(852700, 852799)	50.0	71
8528	NZ_CP009617.1	(852800, 852899)	42.0	91
8529	NZ_CP009617.1	(852900, 852999)	42.0	81
8530	NZ_CP009617.1	(853000, 853099)	49.0	103
8531	NZ_CP009617.1	(853100, 853199)	41.0	71
8532	NZ_CP009617.1	(853200, 853299)	38.0	103
8533	NZ_CP009617.1	(853300, 853399)	44.0	68
8534	NZ_CP009617.1	(853400, 853499)	54.0	51
8535	NZ_CP009617.1	(853500, 853599)	44.0	68
8536	NZ_CP009617.1	(853600, 853699)	47.0	78
8537	NZ_CP009617.1	(853700, 853799)	41.0	92
8538	NZ_CP009617.1	(853800, 853899)	43.0	80
8539	NZ_CP009617.1	(853900, 853999)	52.0	64
8540	NZ_CP009617.1	(854000, 854099)	43.0	106
8541	NZ_CP009617.1	(854100, 854199)	41.0	93
8542	NZ_CP009617.1	(854200, 854299)	46.0	96
8543	NZ_CP009617.1	(854300, 854399)	41.0	120
8544	NZ_CP009617.1	(854400, 854499)	54.0	80
8545	NZ_CP009617.1	(854500, 854599)	50.0	83
8546	NZ_CP009617.1	(854600, 854699)	53.0	109
8547	NZ_CP009617.1	(854700, 854799)	46.0	75
8548	NZ_CP009617.1	(854800, 854899)	50.0	64
8549	NZ_CP009617.1	(854900, 854999)	56.0	68
8550	NZ_CP009617.1	(855000, 855099)	52.0	66
8551	NZ_CP009617.1	(855100, 855199)	55.0	69
8552	NZ_CP009617.1	(855200, 855299)	43.0	98
8553	NZ_CP009617.1	(855300, 855399)	53.0	69
8554	NZ_CP009617.1	(855400, 855499)	42.0	84
8555	NZ_CP009617.1	(855500, 855599)	44.0	80
8556	NZ_CP009617.1	(855600, 855699)	51.0	68
8557	NZ_CP009617.1	(855700, 855799)	42.0	91
8558	NZ_CP009617.1	(855800, 855899)	43.0	88
8559	NZ_CP009617.1	(855900, 855999)	39.0	89
8560	NZ_CP009617.1	(856000, 856099)	45.0	79
8561	NZ_CP009617.1	(856100, 856199)	47.0	76
8562	NZ_CP009617.1	(856200, 856299)	45.0	94
8563	NZ_CP009617.1	(856300, 856399)	52.0	85
8564	NZ_CP009617.1	(856400, 856499)	51.0	107
8565	NZ_CP009617.1	(856500, 856599)	47.0	75
8566	NZ_CP009617.1	(856600, 856699)	48.0	84
8567	NZ_CP009617.1	(856700, 856799)	49.0	73
8568	NZ_CP009617.1	(856800, 856899)	49.0	59
8569	NZ_CP009617.1	(856900, 856999)	39.0	75
8570	NZ_CP009617.1	(857000, 857099)	50.0	67
8571	NZ_CP009617.1	(857100, 857199)	46.0	63
8572	NZ_CP009617.1	(857200, 857299)	50.0	74
8573	NZ_CP009617.1	(857300, 857399)	45.0	79
8574	NZ_CP009617.1	(857400, 857499)	45.0	88
8575	NZ_CP009617.1	(857500, 857599)	41.0	70
8576	NZ_CP009617.1	(857600, 857699)	53.0	62
8577	NZ_CP009617.1	(857700, 857799)	46.0	103
8578	NZ_CP009617.1	(857800, 857899)	37.0	84
8579	NZ_CP009617.1	(857900, 857999)	36.0	75
8580	NZ_CP009617.1	(858000, 858099)	51.0	77
8581	NZ_CP009617.1	(858100, 858199)	46.0	77
8582	NZ_CP009617.1	(858200, 858299)	41.0	77
8583	NZ_CP009617.1	(858300, 858399)	49.0	69
8584	NZ_CP009617.1	(858400, 858499)	43.0	76
8585	NZ_CP009617.1	(858500, 858599)	45.0	47
8586	NZ_CP009617.1	(858600, 858699)	46.0	88
8587	NZ_CP009617.1	(858700, 858799)	44.0	78
8588	NZ_CP009617.1	(858800, 858899)	33.0	91
8589	NZ_CP009617.1	(858900, 858999)	40.0	97
8590	NZ_CP009617.1	(859000, 859099)	27.0	99
8591	NZ_CP009617.1	(859100, 859199)	36.0	107
8592	NZ_CP009617.1	(859200, 859299)	35.0	89
8593	NZ_CP009617.1	(859300, 859399)	41.0	98
8594	NZ_CP009617.1	(859400, 859499)	49.0	85
8595	NZ_CP009617.1	(859500, 859599)	49.0	80
8596	NZ_CP009617.1	(859600, 859699)	43.0	83
8597	NZ_CP009617.1	(859700, 859799)	52.0	65
8598	NZ_CP009617.1	(859800, 859899)	54.0	72
8599	NZ_CP009617.1	(859900, 859999)	42.0	56
8600	NZ_CP009617.1	(860000, 860099)	50.0	72
8601	NZ_CP009617.1	(860100, 860199)	43.0	59
8602	NZ_CP009617.1	(860200, 860299)	53.0	71
8603	NZ_CP009617.1	(860300, 860399)	48.0	67
8604	NZ_CP009617.1	(860400, 860499)	43.0	66
8605	NZ_CP009617.1	(860500, 860599)	49.0	86
8606	NZ_CP009617.1	(860600, 860699)	50.0	49
8607	NZ_CP009617.1	(860700, 860799)	47.0	85
8608	NZ_CP009617.1	(860800, 860899)	42.0	102
8609	NZ_CP009617.1	(860900, 860999)	34.0	108
8610	NZ_CP009617.1	(861000, 861099)	41.0	76
8611	NZ_CP009617.1	(861100, 861199)	53.0	70
8612	NZ_CP009617.1	(861200, 861299)	45.0	84
8613	NZ_CP009617.1	(861300, 861399)	44.0	70
8614	NZ_CP009617.1	(861400, 861499)	46.0	73
8615	NZ_CP009617.1	(861500, 861599)	51.0	79
8616	NZ_CP009617.1	(861600, 861699)	46.0	72
8617	NZ_CP009617.1	(861700, 861799)	46.0	65
8618	NZ_CP009617.1	(861800, 861899)	48.0	39
8619	NZ_CP009617.1	(861900, 861999)	48.0	76
8620	NZ_CP009617.1	(862000, 862099)	41.0	79
8621	NZ_CP009617.1	(862100, 862199)	38.0	70
8622	NZ_CP009617.1	(862200, 862299)	46.0	63
8623	NZ_CP009617.1	(862300, 862399)	46.0	73
8624	NZ_CP009617.1	(862400, 862499)	44.0	72
8625	NZ_CP009617.1	(862500, 862599)	53.0	57
8626	NZ_CP009617.1	(862600, 862699)	44.0	71
8627	NZ_CP009617.1	(862700, 862799)	44.0	83
8628	NZ_CP009617.1	(862800, 862899)	43.0	53
8629	NZ_CP009617.1	(862900, 862999)	46.0	54
8630	NZ_CP009617.1	(863000, 863099)	47.0	80
8631	NZ_CP009617.1	(863100, 863199)	43.0	73
8632	NZ_CP009617.1	(863200, 863299)	41.0	65
8633	NZ_CP009617.1	(863300, 863399)	37.0	59
8634	NZ_CP009617.1	(863400, 863499)	47.0	61
8635	NZ_CP009617.1	(863500, 863599)	58.0	64
8636	NZ_CP009617.1	(863600, 863699)	48.0	54
8637	NZ_CP009617.1	(863700, 863799)	55.0	64
8638	NZ_CP009617.1	(863800, 863899)	50.0	59
8639	NZ_CP009617.1	(863900, 863999)	47.0	51
8640	NZ_CP009617.1	(864000, 864099)	49.0	75
8641	NZ_CP009617.1	(864100, 864199)	55.0	55
8642	NZ_CP009617.1	(864200, 864299)	46.0	70
8643	NZ_CP009617.1	(864300, 864399)	41.0	70
8644	NZ_CP009617.1	(864400, 864499)	53.0	73
8645	NZ_CP009617.1	(864500, 864599)	52.0	91
8646	NZ_CP009617.1	(864600, 864699)	50.0	70
8647	NZ_CP009617.1	(864700, 864799)	45.0	80
8648	NZ_CP009617.1	(864800, 864899)	42.0	82
8649	NZ_CP009617.1	(864900, 864999)	42.0	65
8650	NZ_CP009617.1	(865000, 865099)	45.0	76
8651	NZ_CP009617.1	(865100, 865199)	49.0	88
8652	NZ_CP009617.1	(865200, 865299)	51.0	67
8653	NZ_CP009617.1	(865300, 865399)	46.0	76
8654	NZ_CP009617.1	(865400, 865499)	46.0	63
8655	NZ_CP009617.1	(865500, 865599)	47.0	73
8656	NZ_CP009617.1	(865600, 865699)	41.0	86
8657	NZ_CP009617.1	(865700, 865799)	44.0	79
8658	NZ_CP009617.1	(865800, 865899)	45.0	73
8659	NZ_CP009617.1	(865900, 865999)	46.0	59
8660	NZ_CP009617.1	(866000, 866099)	53.0	67
8661	NZ_CP009617.1	(866100, 866199)	46.0	67
8662	NZ_CP009617.1	(866200, 866299)	46.0	65
8663	NZ_CP009617.1	(866300, 866399)	51.0	63
8664	NZ_CP009617.1	(866400, 866499)	42.0	60
8665	NZ_CP009617.1	(866500, 866599)	50.0	70
8666	NZ_CP009617.1	(866600, 866699)	44.0	53
8667	NZ_CP009617.1	(866700, 866799)	49.0	78
8668	NZ_CP009617.1	(866800, 866899)	55.0	71
8669	NZ_CP009617.1	(866900, 866999)	44.0	58
8670	NZ_CP009617.1	(867000, 867099)	44.0	84
8671	NZ_CP009617.1	(867100, 867199)	47.0	75
8672	NZ_CP009617.1	(867200, 867299)	45.0	104
8673	NZ_CP009617.1	(867300, 867399)	44.0	79
8674	NZ_CP009617.1	(867400, 867499)	54.0	80
8675	NZ_CP009617.1	(867500, 867599)	39.0	118
8676	NZ_CP009617.1	(867600, 867699)	40.0	102
8677	NZ_CP009617.1	(867700, 867799)	39.0	96
8678	NZ_CP009617.1	(867800, 867899)	35.0	102
8679	NZ_CP009617.1	(867900, 867999)	24.0	110
8680	NZ_CP009617.1	(868000, 868099)	37.0	95
8681	NZ_CP009617.1	(868100, 868199)	46.0	103
8682	NZ_CP009617.1	(868200, 868299)	44.0	92
8683	NZ_CP009617.1	(868300, 868399)	43.0	81
8684	NZ_CP009617.1	(868400, 868499)	47.0	66
8685	NZ_CP009617.1	(868500, 868599)	48.0	77
8686	NZ_CP009617.1	(868600, 868699)	48.0	102
8687	NZ_CP009617.1	(868700, 868799)	39.0	87
8688	NZ_CP009617.1	(868800, 868899)	47.0	81
8689	NZ_CP009617.1	(868900, 868999)	48.0	64
8690	NZ_CP009617.1	(869000, 869099)	43.0	101
8691	NZ_CP009617.1	(869100, 869199)	50.0	86
8692	NZ_CP009617.1	(869200, 869299)	41.0	95
8693	NZ_CP009617.1	(869300, 869399)	44.0	60
8694	NZ_CP009617.1	(869400, 869499)	47.0	89
8695	NZ_CP009617.1	(869500, 869599)	44.0	75
8696	NZ_CP009617.1	(869600, 869699)	47.0	82
8697	NZ_CP009617.1	(869700, 869799)	47.0	68
8698	NZ_CP009617.1	(869800, 869899)	42.0	82
8699	NZ_CP009617.1	(869900, 869999)	50.0	63
8700	NZ_CP009617.1	(870000, 870099)	44.0	77
8701	NZ_CP009617.1	(870100, 870199)	60.0	60
8702	NZ_CP009617.1	(870200, 870299)	46.0	79
8703	NZ_CP009617.1	(870300, 870399)	55.0	73
8704	NZ_CP009617.1	(870400, 870499)	48.0	70
8705	NZ_CP009617.1	(870500, 870599)	53.0	73
8706	NZ_CP009617.1	(870600, 870699)	41.0	107
8707	NZ_CP009617.1	(870700, 870799)	40.0	62
8708	NZ_CP009617.1	(870800, 870899)	49.0	85
8709	NZ_CP009617.1	(870900, 870999)	54.0	67
8710	NZ_CP009617.1	(871000, 871099)	56.0	68
8711	NZ_CP009617.1	(871100, 871199)	50.0	59
8712	NZ_CP009617.1	(871200, 871299)	42.0	77
8713	NZ_CP009617.1	(871300, 871399)	40.0	71
8714	NZ_CP009617.1	(871400, 871499)	53.0	76
8715	NZ_CP009617.1	(871500, 871599)	45.0	68
8716	NZ_CP009617.1	(871600, 871699)	46.0	69
8717	NZ_CP009617.1	(871700, 871799)	50.0	65
8718	NZ_CP009617.1	(871800, 871899)	46.0	71
8719	NZ_CP009617.1	(871900, 871999)	56.0	70
8720	NZ_CP009617.1	(872000, 872099)	51.0	63
8721	NZ_CP009617.1	(872100, 872199)	46.0	73
8722	NZ_CP009617.1	(872200, 872299)	46.0	76
8723	NZ_CP009617.1	(872300, 872399)	52.0	63
8724	NZ_CP009617.1	(872400, 872499)	49.0	62
8725	NZ_CP009617.1	(872500, 872599)	52.0	55
8726	NZ_CP009617.1	(872600, 872699)	51.0	58
8727	NZ_CP009617.1	(872700, 872799)	51.0	82
8728	NZ_CP009617.1	(872800, 872899)	47.0	69
8729	NZ_CP009617.1	(872900, 872999)	41.0	81
8730	NZ_CP009617.1	(873000, 873099)	46.0	69
8731	NZ_CP009617.1	(873100, 873199)	45.0	96
8732	NZ_CP009617.1	(873200, 873299)	48.0	72
8733	NZ_CP009617.1	(873300, 873399)	45.0	59
8734	NZ_CP009617.1	(873400, 873499)	43.0	63
8735	NZ_CP009617.1	(873500, 873599)	49.0	46
8736	NZ_CP009617.1	(873600, 873699)	47.0	68
8737	NZ_CP009617.1	(873700, 873799)	47.0	66
8738	NZ_CP009617.1	(873800, 873899)	41.0	60
8739	NZ_CP009617.1	(873900, 873999)	43.0	63
8740	NZ_CP009617.1	(874000, 874099)	47.0	67
8741	NZ_CP009617.1	(874100, 874199)	45.0	39
8742	NZ_CP009617.1	(874200, 874299)	46.0	69
8743	NZ_CP009617.1	(874300, 874399)	48.0	66
8744	NZ_CP009617.1	(874400, 874499)	47.0	59
8745	NZ_CP009617.1	(874500, 874599)	43.0	66
8746	NZ_CP009617.1	(874600, 874699)	50.0	66
8747	NZ_CP009617.1	(874700, 874799)	44.0	104
8748	NZ_CP009617.1	(874800, 874899)	38.0	83
8749	NZ_CP009617.1	(874900, 874999)	32.0	90
8750	NZ_CP009617.1	(875000, 875099)	49.0	83
8751	NZ_CP009617.1	(875100, 875199)	43.0	93
8752	NZ_CP009617.1	(875200, 875299)	45.0	98
8753	NZ_CP009617.1	(875300, 875399)	48.0	102
8754	NZ_CP009617.1	(875400, 875499)	46.0	91
8755	NZ_CP009617.1	(875500, 875599)	47.0	88
8756	NZ_CP009617.1	(875600, 875699)	41.0	88
8757	NZ_CP009617.1	(875700, 875799)	44.0	93
8758	NZ_CP009617.1	(875800, 875899)	50.0	94
8759	NZ_CP009617.1	(875900, 875999)	42.0	104
8760	NZ_CP009617.1	(876000, 876099)	43.0	84
8761	NZ_CP009617.1	(876100, 876199)	44.0	100
8762	NZ_CP009617.1	(876200, 876299)	52.0	100
8763	NZ_CP009617.1	(876300, 876399)	46.0	95
8764	NZ_CP009617.1	(876400, 876499)	44.0	122
8765	NZ_CP009617.1	(876500, 876599)	42.0	110
8766	NZ_CP009617.1	(876600, 876699)	39.0	112
8767	NZ_CP009617.1	(876700, 876799)	43.0	96
8768	NZ_CP009617.1	(876800, 876899)	42.0	103
8769	NZ_CP009617.1	(876900, 876999)	44.0	102
8770	NZ_CP009617.1	(877000, 877099)	49.0	85
8771	NZ_CP009617.1	(877100, 877199)	50.0	103
8772	NZ_CP009617.1	(877200, 877299)	48.0	101
8773	NZ_CP009617.1	(877300, 877399)	39.0	106
8774	NZ_CP009617.1	(877400, 877499)	48.0	92
8775	NZ_CP009617.1	(877500, 877599)	39.0	93
8776	NZ_CP009617.1	(877600, 877699)	43.0	68
8777	NZ_CP009617.1	(877700, 877799)	46.0	90
8778	NZ_CP009617.1	(877800, 877899)	45.0	90
8779	NZ_CP009617.1	(877900, 877999)	45.0	63
8780	NZ_CP009617.1	(878000, 878099)	54.0	59
8781	NZ_CP009617.1	(878100, 878199)	43.0	77
8782	NZ_CP009617.1	(878200, 878299)	42.0	80
8783	NZ_CP009617.1	(878300, 878399)	44.0	78
8784	NZ_CP009617.1	(878400, 878499)	50.0	84
8785	NZ_CP009617.1	(878500, 878599)	46.0	79
8786	NZ_CP009617.1	(878600, 878699)	44.0	89
8787	NZ_CP009617.1	(878700, 878799)	31.0	93
8788	NZ_CP009617.1	(878800, 878899)	45.0	74
8789	NZ_CP009617.1	(878900, 878999)	45.0	86
8790	NZ_CP009617.1	(879000, 879099)	48.0	92
8791	NZ_CP009617.1	(879100, 879199)	42.0	82
8792	NZ_CP009617.1	(879200, 879299)	42.0	76
8793	NZ_CP009617.1	(879300, 879399)	52.0	55
8794	NZ_CP009617.1	(879400, 879499)	41.0	77
8795	NZ_CP009617.1	(879500, 879599)	47.0	103
8796	NZ_CP009617.1	(879600, 879699)	54.0	87
8797	NZ_CP009617.1	(879700, 879799)	49.0	74
8798	NZ_CP009617.1	(879800, 879899)	44.0	81
8799	NZ_CP009617.1	(879900, 879999)	54.0	71
8800	NZ_CP009617.1	(880000, 880099)	39.0	74
8801	NZ_CP009617.1	(880100, 880199)	45.0	91
8802	NZ_CP009617.1	(880200, 880299)	45.0	66
8803	NZ_CP009617.1	(880300, 880399)	41.0	81
8804	NZ_CP009617.1	(880400, 880499)	49.0	74
8805	NZ_CP009617.1	(880500, 880599)	47.0	75
8806	NZ_CP009617.1	(880600, 880699)	52.0	71
8807	NZ_CP009617.1	(880700, 880799)	46.0	68
8808	NZ_CP009617.1	(880800, 880899)	52.0	65
8809	NZ_CP009617.1	(880900, 880999)	46.0	65
8810	NZ_CP009617.1	(881000, 881099)	42.0	70
8811	NZ_CP009617.1	(881100, 881199)	38.0	86
8812	NZ_CP009617.1	(881200, 881299)	39.0	74
8813	NZ_CP009617.1	(881300, 881399)	36.0	80
8814	NZ_CP009617.1	(881400, 881499)	52.0	80
8815	NZ_CP009617.1	(881500, 881599)	48.0	101
8816	NZ_CP009617.1	(881600, 881699)	40.0	102
8817	NZ_CP009617.1	(881700, 881799)	40.0	108
8818	NZ_CP009617.1	(881800, 881899)	40.0	132
8819	NZ_CP009617.1	(881900, 881999)	48.0	103
8820	NZ_CP009617.1	(882000, 882099)	44.0	114
8821	NZ_CP009617.1	(882100, 882199)	47.0	103
8822	NZ_CP009617.1	(882200, 882299)	51.0	84
8823	NZ_CP009617.1	(882300, 882399)	44.0	71
8824	NZ_CP009617.1	(882400, 882499)	38.0	88
8825	NZ_CP009617.1	(882500, 882599)	42.0	85
8826	NZ_CP009617.1	(882600, 882699)	46.0	62
8827	NZ_CP009617.1	(882700, 882799)	50.0	66
8828	NZ_CP009617.1	(882800, 882899)	46.0	58
8829	NZ_CP009617.1	(882900, 882999)	42.0	81
8830	NZ_CP009617.1	(883000, 883099)	49.0	74
8831	NZ_CP009617.1	(883100, 883199)	42.0	68
8832	NZ_CP009617.1	(883200, 883299)	53.0	82
8833	NZ_CP009617.1	(883300, 883399)	44.0	97
8834	NZ_CP009617.1	(883400, 883499)	44.0	95
8835	NZ_CP009617.1	(883500, 883599)	43.0	102
8836	NZ_CP009617.1	(883600, 883699)	34.0	92
8837	NZ_CP009617.1	(883700, 883799)	41.0	82
8838	NZ_CP009617.1	(883800, 883899)	45.0	66
8839	NZ_CP009617.1	(883900, 883999)	44.0	75
8840	NZ_CP009617.1	(884000, 884099)	41.0	73
8841	NZ_CP009617.1	(884100, 884199)	41.0	68
8842	NZ_CP009617.1	(884200, 884299)	45.0	79
8843	NZ_CP009617.1	(884300, 884399)	47.0	86
8844	NZ_CP009617.1	(884400, 884499)	49.0	88
8845	NZ_CP009617.1	(884500, 884599)	51.0	90
8846	NZ_CP009617.1	(884600, 884699)	48.0	88
8847	NZ_CP009617.1	(884700, 884799)	50.0	110
8848	NZ_CP009617.1	(884800, 884899)	53.0	104
8849	NZ_CP009617.1	(884900, 884999)	51.0	110
8850	NZ_CP009617.1	(885000, 885099)	31.0	114
8851	NZ_CP009617.1	(885100, 885199)	48.0	88
8852	NZ_CP009617.1	(885200, 885299)	50.0	116
8853	NZ_CP009617.1	(885300, 885399)	41.0	106
8854	NZ_CP009617.1	(885400, 885499)	46.0	87
8855	NZ_CP009617.1	(885500, 885599)	48.0	71
8856	NZ_CP009617.1	(885600, 885699)	46.0	69
8857	NZ_CP009617.1	(885700, 885799)	49.0	105
8858	NZ_CP009617.1	(885800, 885899)	49.0	91
8859	NZ_CP009617.1	(885900, 885999)	39.0	72
8860	NZ_CP009617.1	(886000, 886099)	47.0	86
8861	NZ_CP009617.1	(886100, 886199)	48.0	99
8862	NZ_CP009617.1	(886200, 886299)	45.0	98
8863	NZ_CP009617.1	(886300, 886399)	43.0	115
8864	NZ_CP009617.1	(886400, 886499)	50.0	92
8865	NZ_CP009617.1	(886500, 886599)	43.0	111
8866	NZ_CP009617.1	(886600, 886699)	47.0	107
8867	NZ_CP009617.1	(886700, 886799)	38.0	100
8868	NZ_CP009617.1	(886800, 886899)	32.0	107
8869	NZ_CP009617.1	(886900, 886999)	42.0	84
8870	NZ_CP009617.1	(887000, 887099)	50.0	72
8871	NZ_CP009617.1	(887100, 887199)	46.0	82
8872	NZ_CP009617.1	(887200, 887299)	37.0	90
8873	NZ_CP009617.1	(887300, 887399)	38.0	85
8874	NZ_CP009617.1	(887400, 887499)	41.0	65
8875	NZ_CP009617.1	(887500, 887599)	39.0	66
8876	NZ_CP009617.1	(887600, 887699)	39.0	83
8877	NZ_CP009617.1	(887700, 887799)	50.0	72
8878	NZ_CP009617.1	(887800, 887899)	48.0	47
8879	NZ_CP009617.1	(887900, 887999)	41.0	76
8880	NZ_CP009617.1	(888000, 888099)	46.0	76
8881	NZ_CP009617.1	(888100, 888199)	45.0	83
8882	NZ_CP009617.1	(888200, 888299)	49.0	75
8883	NZ_CP009617.1	(888300, 888399)	41.0	80
8884	NZ_CP009617.1	(888400, 888499)	50.0	93
8885	NZ_CP009617.1	(888500, 888599)	44.0	63
8886	NZ_CP009617.1	(888600, 888699)	48.0	87
8887	NZ_CP009617.1	(888700, 888799)	46.0	87
8888	NZ_CP009617.1	(888800, 888899)	37.0	103
8889	NZ_CP009617.1	(888900, 888999)	41.0	103
8890	NZ_CP009617.1	(889000, 889099)	41.0	90
8891	NZ_CP009617.1	(889100, 889199)	58.0	76
8892	NZ_CP009617.1	(889200, 889299)	50.0	81
8893	NZ_CP009617.1	(889300, 889399)	44.0	76
8894	NZ_CP009617.1	(889400, 889499)	54.0	92
8895	NZ_CP009617.1	(889500, 889599)	40.0	96
8896	NZ_CP009617.1	(889600, 889699)	35.0	98
8897	NZ_CP009617.1	(889700, 889799)	43.0	73
8898	NZ_CP009617.1	(889800, 889899)	47.0	76
8899	NZ_CP009617.1	(889900, 889999)	47.0	79
8900	NZ_CP009617.1	(890000, 890099)	41.0	91
8901	NZ_CP009617.1	(890100, 890199)	43.0	65
8902	NZ_CP009617.1	(890200, 890299)	47.0	67
8903	NZ_CP009617.1	(890300, 890399)	45.0	67
8904	NZ_CP009617.1	(890400, 890499)	45.0	94
8905	NZ_CP009617.1	(890500, 890599)	43.0	69
8906	NZ_CP009617.1	(890600, 890699)	48.0	67
8907	NZ_CP009617.1	(890700, 890799)	43.0	68
8908	NZ_CP009617.1	(890800, 890899)	43.0	75
8909	NZ_CP009617.1	(890900, 890999)	42.0	67
8910	NZ_CP009617.1	(891000, 891099)	45.0	62
8911	NZ_CP009617.1	(891100, 891199)	45.0	88
8912	NZ_CP009617.1	(891200, 891299)	44.0	84
8913	NZ_CP009617.1	(891300, 891399)	48.0	76
8914	NZ_CP009617.1	(891400, 891499)	39.0	92
8915	NZ_CP009617.1	(891500, 891599)	44.0	93
8916	NZ_CP009617.1	(891600, 891699)	40.0	91
8917	NZ_CP009617.1	(891700, 891799)	40.0	86
8918	NZ_CP009617.1	(891800, 891899)	40.0	110
8919	NZ_CP009617.1	(891900, 891999)	40.0	77
8920	NZ_CP009617.1	(892000, 892099)	43.0	108
8921	NZ_CP009617.1	(892100, 892199)	39.0	102
8922	NZ_CP009617.1	(892200, 892299)	49.0	97
8923	NZ_CP009617.1	(892300, 892399)	41.0	77
8924	NZ_CP009617.1	(892400, 892499)	49.0	89
8925	NZ_CP009617.1	(892500, 892599)	40.0	88
8926	NZ_CP009617.1	(892600, 892699)	34.0	94
8927	NZ_CP009617.1	(892700, 892799)	28.0	90
8928	NZ_CP009617.1	(892800, 892899)	34.0	86
8929	NZ_CP009617.1	(892900, 892999)	40.0	101
8930	NZ_CP009617.1	(893000, 893099)	49.0	65
8931	NZ_CP009617.1	(893100, 893199)	42.0	90
8932	NZ_CP009617.1	(893200, 893299)	46.0	85
8933	NZ_CP009617.1	(893300, 893399)	49.0	82
8934	NZ_CP009617.1	(893400, 893499)	41.0	80
8935	NZ_CP009617.1	(893500, 893599)	51.0	77
8936	NZ_CP009617.1	(893600, 893699)	47.0	74
8937	NZ_CP009617.1	(893700, 893799)	50.0	89
8938	NZ_CP009617.1	(893800, 893899)	42.0	72
8939	NZ_CP009617.1	(893900, 893999)	43.0	60
8940	NZ_CP009617.1	(894000, 894099)	43.0	61
8941	NZ_CP009617.1	(894100, 894199)	49.0	60
8942	NZ_CP009617.1	(894200, 894299)	50.0	63
8943	NZ_CP009617.1	(894300, 894399)	50.0	56
8944	NZ_CP009617.1	(894400, 894499)	49.0	79
8945	NZ_CP009617.1	(894500, 894599)	44.0	69
8946	NZ_CP009617.1	(894600, 894699)	45.0	84
8947	NZ_CP009617.1	(894700, 894799)	49.0	76
8948	NZ_CP009617.1	(894800, 894899)	49.0	79
8949	NZ_CP009617.1	(894900, 894999)	46.0	94
8950	NZ_CP009617.1	(895000, 895099)	39.0	99
8951	NZ_CP009617.1	(895100, 895199)	34.0	95
8952	NZ_CP009617.1	(895200, 895299)	31.0	101
8953	NZ_CP009617.1	(895300, 895399)	47.0	99
8954	NZ_CP009617.1	(895400, 895499)	48.0	95
8955	NZ_CP009617.1	(895500, 895599)	48.0	83
8956	NZ_CP009617.1	(895600, 895699)	47.0	92
8957	NZ_CP009617.1	(895700, 895799)	43.0	90
8958	NZ_CP009617.1	(895800, 895899)	44.0	86
8959	NZ_CP009617.1	(895900, 895999)	47.0	97
8960	NZ_CP009617.1	(896000, 896099)	44.0	93
8961	NZ_CP009617.1	(896100, 896199)	48.0	82
8962	NZ_CP009617.1	(896200, 896299)	52.0	67
8963	NZ_CP009617.1	(896300, 896399)	44.0	53
8964	NZ_CP009617.1	(896400, 896499)	50.0	59
8965	NZ_CP009617.1	(896500, 896599)	57.0	61
8966	NZ_CP009617.1	(896600, 896699)	50.0	62
8967	NZ_CP009617.1	(896700, 896799)	48.0	20
8968	NZ_CP009617.1	(896800, 896899)	52.0	58
8969	NZ_CP009617.1	(896900, 896999)	48.0	28
8970	NZ_CP009617.1	(897000, 897099)	56.0	45
8971	NZ_CP009617.1	(897100, 897199)	48.0	87
8972	NZ_CP009617.1	(897200, 897299)	42.0	58
8973	NZ_CP009617.1	(897300, 897399)	43.0	51
8974	NZ_CP009617.1	(897400, 897499)	54.0	71
8975	NZ_CP009617.1	(897500, 897599)	51.0	62
8976	NZ_CP009617.1	(897600, 897699)	48.0	83
8977	NZ_CP009617.1	(897700, 897799)	49.0	88
8978	NZ_CP009617.1	(897800, 897899)	43.0	78
8979	NZ_CP009617.1	(897900, 897999)	54.0	98
8980	NZ_CP009617.1	(898000, 898099)	38.0	97
8981	NZ_CP009617.1	(898100, 898199)	37.0	101
8982	NZ_CP009617.1	(898200, 898299)	42.0	95
8983	NZ_CP009617.1	(898300, 898399)	42.0	66
8984	NZ_CP009617.1	(898400, 898499)	46.0	89
8985	NZ_CP009617.1	(898500, 898599)	45.0	87
8986	NZ_CP009617.1	(898600, 898699)	43.0	94
8987	NZ_CP009617.1	(898700, 898799)	42.0	75
8988	NZ_CP009617.1	(898800, 898899)	44.0	84
8989	NZ_CP009617.1	(898900, 898999)	44.0	98
