REFID,window,GC,hits
NZ_CP009617.1,"(1884500, 1884599)",46.0,49
NZ_CP009617.1,"(1884600, 1884699)",47.0,52
NZ_CP009617.1,"(1884700, 1884799)",51.0,70
NZ_CP009617.1,"(1884800, 1884899)",42.0,68
NZ_CP009617.1,"(1884900, 1884999)",45.0,46
NZ_CP009617.1,"(1885000, 1885099)",45.0,65
NZ_CP009617.1,"(1885100, 1885199)",53.0,71
NZ_CP009617.1,"(1885200, 1885299)",42.0,77
NZ_CP009617.1,"(1885300, 1885399)",47.0,79
NZ_CP009617.1,"(1885400, 1885499)",43.0,77
NZ_CP009617.1,"(1885500, 1885599)",44.0,50
NZ_CP009617.1,"(1885600, 1885699)",51.0,86
NZ_CP009617.1,"(1885700, 1885799)",42.0,79
NZ_CP009617.1,"(1885800, 1885899)",43.0,73
NZ_CP009617.1,"(1885900, 1885999)",44.0,88
NZ_CP009617.1,"(1886000, 1886099)",40.0,85
NZ_CP009617.1,"(1886100, 1886199)",32.0,82
NZ_CP009617.1,"(1886200, 1886299)",39.0,85
NZ_CP009617.1,"(1886300, 1886399)",47.0,61
NZ_CP009617.1,"(1886400, 1886499)",46.0,72
NZ_CP009617.1,"(1886500, 1886599)",48.0,82
NZ_CP009617.1,"(1886600, 1886699)",35.0,84
NZ_CP009617.1,"(1886700, 1886799)",33.0,82
NZ_CP009617.1,"(1886800, 1886899)",44.0,68
NZ_CP009617.1,"(1886900, 1886999)",43.0,82
NZ_CP009617.1,"(1887000, 1887099)",44.0,88
NZ_CP009617.1,"(1887100, 1887199)",38.0,83
NZ_CP009617.1,"(1887200, 1887299)",43.0,77
NZ_CP009617.1,"(1887300, 1887399)",39.0,82
NZ_CP009617.1,"(1887400, 1887499)",48.0,85
NZ_CP009617.1,"(1887500, 1887599)",47.0,75
NZ_CP009617.1,"(1887600, 1887699)",53.0,81
NZ_CP009617.1,"(1887700, 1887799)",39.0,83
NZ_CP009617.1,"(1887800, 1887899)",45.0,82
NZ_CP009617.1,"(1887900, 1887999)",47.0,80
NZ_CP009617.1,"(1888000, 1888099)",41.0,95
NZ_CP009617.1,"(1888100, 1888199)",50.0,69
NZ_CP009617.1,"(1888200, 1888299)",48.0,71
NZ_CP009617.1,"(1888300, 1888399)",33.0,62
NZ_CP009617.1,"(1888400, 1888499)",46.0,86
NZ_CP009617.1,"(1888500, 1888599)",40.0,71
NZ_CP009617.1,"(1888600, 1888699)",45.0,70
NZ_CP009617.1,"(1888700, 1888799)",50.0,71
NZ_CP009617.1,"(1888800, 1888899)",45.0,70
NZ_CP009617.1,"(1888900, 1888999)",43.0,74
NZ_CP009617.1,"(1889000, 1889099)",52.0,43
NZ_CP009617.1,"(1889100, 1889199)",49.0,52
NZ_CP009617.1,"(1889200, 1889299)",48.0,51
NZ_CP009617.1,"(1889300, 1889399)",45.0,65
NZ_CP009617.1,"(1889400, 1889499)",45.0,53
NZ_CP009617.1,"(1889500, 1889599)",53.0,59
NZ_CP009617.1,"(1889600, 1889699)",47.0,67
NZ_CP009617.1,"(1889700, 1889799)",35.0,54
NZ_CP009617.1,"(1889800, 1889899)",35.0,76
NZ_CP009617.1,"(1889900, 1889999)",43.0,112
NZ_CP009617.1,"(1890000, 1890099)",40.0,74
NZ_CP009617.1,"(1890100, 1890199)",43.0,91
NZ_CP009617.1,"(1890200, 1890299)",50.0,81
NZ_CP009617.1,"(1890300, 1890399)",47.0,81
NZ_CP009617.1,"(1890400, 1890499)",50.0,75
NZ_CP009617.1,"(1890500, 1890599)",41.0,78
NZ_CP009617.1,"(1890600, 1890699)",42.0,47
NZ_CP009617.1,"(1890700, 1890799)",41.0,60
NZ_CP009617.1,"(1890800, 1890899)",44.0,64
NZ_CP009617.1,"(1890900, 1890999)",45.0,50
NZ_CP009617.1,"(1891000, 1891099)",40.0,69
NZ_CP009617.1,"(1891100, 1891199)",40.0,53
NZ_CP009617.1,"(1891200, 1891299)",47.0,36
NZ_CP009617.1,"(1891300, 1891399)",48.0,62
NZ_CP009617.1,"(1891400, 1891499)",41.0,66
NZ_CP009617.1,"(1891500, 1891599)",37.0,58
NZ_CP009617.1,"(1891600, 1891699)",45.0,71
NZ_CP009617.1,"(1891700, 1891799)",49.0,60
NZ_CP009617.1,"(1891800, 1891899)",42.0,73
NZ_CP009617.1,"(1891900, 1891999)",41.0,87
NZ_CP009617.1,"(1892000, 1892099)",39.0,74
NZ_CP009617.1,"(1892100, 1892199)",34.0,82
NZ_CP009617.1,"(1892200, 1892299)",45.0,72
NZ_CP009617.1,"(1892300, 1892399)",37.0,98
NZ_CP009617.1,"(1892400, 1892499)",45.0,66
NZ_CP009617.1,"(1892500, 1892599)",51.0,54
NZ_CP009617.1,"(1892600, 1892699)",45.0,86
NZ_CP009617.1,"(1892700, 1892799)",47.0,72
NZ_CP009617.1,"(1892800, 1892899)",40.0,74
NZ_CP009617.1,"(1892900, 1892999)",47.0,82
NZ_CP009617.1,"(1893000, 1893099)",46.0,70
NZ_CP009617.1,"(1893100, 1893199)",49.0,68
NZ_CP009617.1,"(1893200, 1893299)",39.0,116
NZ_CP009617.1,"(1893300, 1893399)",47.0,85
NZ_CP009617.1,"(1893400, 1893499)",51.0,76
NZ_CP009617.1,"(1893500, 1893599)",38.0,68
NZ_CP009617.1,"(1893600, 1893699)",43.0,83
NZ_CP009617.1,"(1893700, 1893799)",33.0,95
NZ_CP009617.1,"(1893800, 1893899)",36.0,96
NZ_CP009617.1,"(1893900, 1893999)",51.0,56
NZ_CP009617.1,"(1894000, 1894099)",40.0,88
NZ_CP009617.1,"(1894100, 1894199)",43.0,73
NZ_CP009617.1,"(1894200, 1894299)",41.0,82
NZ_CP009617.1,"(1894300, 1894399)",47.0,69
NZ_CP009617.1,"(1894400, 1894499)",39.0,99
NZ_CP009617.1,"(1894500, 1894599)",46.0,86
NZ_CP009617.1,"(1894600, 1894699)",38.0,69
NZ_CP009617.1,"(1894700, 1894799)",44.0,70
NZ_CP009617.1,"(1894800, 1894899)",39.0,74
NZ_CP009617.1,"(1894900, 1894999)",44.0,82
NZ_CP009617.1,"(1895000, 1895099)",40.0,86
NZ_CP009617.1,"(1895100, 1895199)",37.0,81
NZ_CP009617.1,"(1895200, 1895299)",46.0,81
NZ_CP009617.1,"(1895300, 1895399)",48.0,81
NZ_CP009617.1,"(1895400, 1895499)",42.0,97
NZ_CP009617.1,"(1895500, 1895599)",29.0,86
NZ_CP009617.1,"(1895600, 1895699)",33.0,110
NZ_CP009617.1,"(1895700, 1895799)",40.0,89
NZ_CP009617.1,"(1895800, 1895899)",48.0,86
NZ_CP009617.1,"(1895900, 1895999)",36.0,89
NZ_CP009617.1,"(1896000, 1896099)",43.0,76
NZ_CP009617.1,"(1896100, 1896199)",42.0,86
NZ_CP009617.1,"(1896200, 1896299)",29.0,108
NZ_CP009617.1,"(1896300, 1896399)",34.0,4
NZ_CP009617.1,"(1896400, 1896499)",42.0,0
NZ_CP009617.1,"(1896500, 1896599)",42.0,0
NZ_CP009617.1,"(1896600, 1896699)",32.0,0
NZ_CP009617.1,"(1896700, 1896799)",33.0,0
NZ_CP009617.1,"(1896800, 1896899)",32.0,0
NZ_CP009617.1,"(1896900, 1896999)",33.0,0
NZ_CP009617.1,"(1897000, 1897099)",41.0,0
NZ_CP009617.1,"(1897100, 1897199)",34.0,0
NZ_CP009617.1,"(1897200, 1897299)",44.0,79
NZ_CP009617.1,"(1897300, 1897399)",42.0,49
NZ_CP009617.1,"(1897400, 1897499)",53.0,62
NZ_CP009617.1,"(1897500, 1897599)",38.0,77
NZ_CP009617.1,"(1897600, 1897699)",49.0,65
NZ_CP009617.1,"(1897700, 1897799)",47.0,91
NZ_CP009617.1,"(1897800, 1897899)",45.0,73
NZ_CP009617.1,"(1897900, 1897999)",44.0,87
NZ_CP009617.1,"(1898000, 1898099)",44.0,66
NZ_CP009617.1,"(1898100, 1898199)",47.0,67
NZ_CP009617.1,"(1898200, 1898299)",38.0,75
NZ_CP009617.1,"(1898300, 1898399)",48.0,57
NZ_CP009617.1,"(1898400, 1898499)",49.0,67
NZ_CP009617.1,"(1898500, 1898599)",50.0,66
NZ_CP009617.1,"(1898600, 1898699)",41.0,82
NZ_CP009617.1,"(1898700, 1898799)",41.0,74
NZ_CP009617.1,"(1898800, 1898899)",40.0,89
NZ_CP009617.1,"(1898900, 1898999)",43.0,85
NZ_CP009617.1,"(1899000, 1899099)",41.0,82
NZ_CP009617.1,"(1899100, 1899199)",48.0,82
NZ_CP009617.1,"(1899200, 1899299)",46.0,88
NZ_CP009617.1,"(1899300, 1899399)",45.0,64
NZ_CP009617.1,"(1899400, 1899499)",41.0,85
NZ_CP009617.1,"(1899500, 1899599)",46.0,90
NZ_CP009617.1,"(1899600, 1899699)",38.0,93
NZ_CP009617.1,"(1899700, 1899799)",37.0,81
NZ_CP009617.1,"(1899800, 1899899)",44.0,83
NZ_CP009617.1,"(1899900, 1899999)",38.0,82
NZ_CP009617.1,"(1900000, 1900099)",45.0,78
NZ_CP009617.1,"(1900100, 1900199)",50.0,77
NZ_CP009617.1,"(1900200, 1900299)",40.0,82
NZ_CP009617.1,"(1900300, 1900399)",47.0,68
NZ_CP009617.1,"(1900400, 1900499)",35.0,68
NZ_CP009617.1,"(1900500, 1900599)",45.0,65
NZ_CP009617.1,"(1900600, 1900699)",46.0,80
NZ_CP009617.1,"(1900700, 1900799)",32.0,68
NZ_CP009617.1,"(1900800, 1900899)",39.0,73
NZ_CP009617.1,"(1900900, 1900999)",36.0,80
NZ_CP009617.1,"(1901000, 1901099)",43.0,76
NZ_CP009617.1,"(1901100, 1901199)",47.0,77
NZ_CP009617.1,"(1901200, 1901299)",51.0,69
NZ_CP009617.1,"(1901300, 1901399)",41.0,86
NZ_CP009617.1,"(1901400, 1901499)",49.0,84
NZ_CP009617.1,"(1901500, 1901599)",35.0,93
NZ_CP009617.1,"(1901600, 1901699)",28.0,79
NZ_CP009617.1,"(1901700, 1901799)",32.0,104
NZ_CP009617.1,"(1901800, 1901899)",41.0,120
NZ_CP009617.1,"(1901900, 1901999)",44.0,76
NZ_CP009617.1,"(1902000, 1902099)",36.0,14
NZ_CP009617.1,"(1902100, 1902199)",38.0,0
NZ_CP009617.1,"(1902200, 1902299)",35.0,0
NZ_CP009617.1,"(1902300, 1902399)",40.0,0
NZ_CP009617.1,"(1902400, 1902499)",44.0,0
NZ_CP009617.1,"(1902500, 1902599)",37.0,0
NZ_CP009617.1,"(1902600, 1902699)",37.0,0
NZ_CP009617.1,"(1902700, 1902799)",40.0,0
NZ_CP009617.1,"(1902800, 1902899)",31.0,0
NZ_CP009617.1,"(1902900, 1902999)",30.0,0
NZ_CP009617.1,"(1903000, 1903099)",31.0,0
NZ_CP009617.1,"(1903100, 1903199)",28.0,0
NZ_CP009617.1,"(1903200, 1903299)",32.0,0
NZ_CP009617.1,"(1903300, 1903399)",32.0,0
NZ_CP009617.1,"(1903400, 1903499)",49.0,143
NZ_CP009617.1,"(1903500, 1903599)",42.0,96
NZ_CP009617.1,"(1903600, 1903699)",37.0,86
NZ_CP009617.1,"(1903700, 1903799)",48.0,65
NZ_CP009617.1,"(1903800, 1903899)",45.0,74
NZ_CP009617.1,"(1903900, 1903999)",52.0,68
NZ_CP009617.1,"(1904000, 1904099)",49.0,61
NZ_CP009617.1,"(1904100, 1904199)",53.0,45
NZ_CP009617.1,"(1904200, 1904299)",51.0,56
NZ_CP009617.1,"(1904300, 1904399)",48.0,78
NZ_CP009617.1,"(1904400, 1904499)",52.0,75
NZ_CP009617.1,"(1904500, 1904599)",51.0,78
NZ_CP009617.1,"(1904600, 1904699)",52.0,64
NZ_CP009617.1,"(1904700, 1904799)",49.0,69
NZ_CP009617.1,"(1904800, 1904899)",46.0,70
NZ_CP009617.1,"(1904900, 1904999)",47.0,65
NZ_CP009617.1,"(1905000, 1905099)",39.0,60
NZ_CP009617.1,"(1905100, 1905199)",44.0,81
NZ_CP009617.1,"(1905200, 1905299)",48.0,71
NZ_CP009617.1,"(1905300, 1905399)",41.0,69
NZ_CP009617.1,"(1905400, 1905499)",46.0,55
NZ_CP009617.1,"(1905500, 1905599)",49.0,85
NZ_CP009617.1,"(1905600, 1905699)",49.0,60
NZ_CP009617.1,"(1905700, 1905799)",39.0,89
NZ_CP009617.1,"(1905800, 1905899)",37.0,64
NZ_CP009617.1,"(1905900, 1905999)",43.0,80
NZ_CP009617.1,"(1906000, 1906099)",54.0,54
NZ_CP009617.1,"(1906100, 1906199)",51.0,90
NZ_CP009617.1,"(1906200, 1906299)",48.0,62
NZ_CP009617.1,"(1906300, 1906399)",51.0,68
NZ_CP009617.1,"(1906400, 1906499)",44.0,56
NZ_CP009617.1,"(1906500, 1906599)",40.0,62
NZ_CP009617.1,"(1906600, 1906699)",50.0,56
NZ_CP009617.1,"(1906700, 1906799)",47.0,62
NZ_CP009617.1,"(1906800, 1906899)",51.0,72
NZ_CP009617.1,"(1906900, 1906999)",47.0,85
NZ_CP009617.1,"(1907000, 1907099)",49.0,74
NZ_CP009617.1,"(1907100, 1907199)",47.0,73
NZ_CP009617.1,"(1907200, 1907299)",45.0,83
NZ_CP009617.1,"(1907300, 1907399)",49.0,79
NZ_CP009617.1,"(1907400, 1907499)",41.0,53
NZ_CP009617.1,"(1907500, 1907599)",53.0,78
NZ_CP009617.1,"(1907600, 1907699)",49.0,86
NZ_CP009617.1,"(1907700, 1907799)",52.0,52
NZ_CP009617.1,"(1907800, 1907899)",49.0,84
NZ_CP009617.1,"(1907900, 1907999)",44.0,69
NZ_CP009617.1,"(1908000, 1908099)",41.0,86
NZ_CP009617.1,"(1908100, 1908199)",39.0,66
NZ_CP009617.1,"(1908200, 1908299)",45.0,75
NZ_CP009617.1,"(1908300, 1908399)",43.0,69
NZ_CP009617.1,"(1908400, 1908499)",49.0,69
NZ_CP009617.1,"(1908500, 1908599)",51.0,70
NZ_CP009617.1,"(1908600, 1908699)",49.0,67
NZ_CP009617.1,"(1908700, 1908799)",46.0,76
NZ_CP009617.1,"(1908800, 1908899)",44.0,72
NZ_CP009617.1,"(1908900, 1908999)",47.0,85
NZ_CP009617.1,"(1909000, 1909099)",37.0,98
NZ_CP009617.1,"(1909100, 1909199)",35.0,98
NZ_CP009617.1,"(1909200, 1909299)",39.0,93
NZ_CP009617.1,"(1909300, 1909399)",46.0,95
NZ_CP009617.1,"(1909400, 1909499)",48.0,92
NZ_CP009617.1,"(1909500, 1909599)",45.0,79
NZ_CP009617.1,"(1909600, 1909699)",37.0,75
NZ_CP009617.1,"(1909700, 1909799)",50.0,82
NZ_CP009617.1,"(1909800, 1909899)",45.0,83
NZ_CP009617.1,"(1909900, 1909999)",50.0,67
NZ_CP009617.1,"(1910000, 1910099)",42.0,81
NZ_CP009617.1,"(1910100, 1910199)",36.0,82
NZ_CP009617.1,"(1910200, 1910299)",42.0,77
NZ_CP009617.1,"(1910300, 1910399)",47.0,72
NZ_CP009617.1,"(1910400, 1910499)",42.0,74
NZ_CP009617.1,"(1910500, 1910599)",43.0,74
NZ_CP009617.1,"(1910600, 1910699)",44.0,73
NZ_CP009617.1,"(1910700, 1910799)",44.0,63
NZ_CP009617.1,"(1910800, 1910899)",48.0,67
NZ_CP009617.1,"(1910900, 1910999)",61.0,65
NZ_CP009617.1,"(1911000, 1911099)",41.0,77
NZ_CP009617.1,"(1911100, 1911199)",52.0,59
NZ_CP009617.1,"(1911200, 1911299)",50.0,68
NZ_CP009617.1,"(1911300, 1911399)",44.0,59
NZ_CP009617.1,"(1911400, 1911499)",54.0,50
NZ_CP009617.1,"(1911500, 1911599)",45.0,53
NZ_CP009617.1,"(1911600, 1911699)",47.0,66
NZ_CP009617.1,"(1911700, 1911799)",50.0,51
NZ_CP009617.1,"(1911800, 1911899)",44.0,56
NZ_CP009617.1,"(1911900, 1911999)",48.0,42
NZ_CP009617.1,"(1912000, 1912099)",46.0,61
NZ_CP009617.1,"(1912100, 1912199)",47.0,62
NZ_CP009617.1,"(1912200, 1912299)",46.0,74
NZ_CP009617.1,"(1912300, 1912399)",45.0,50
NZ_CP009617.1,"(1912400, 1912499)",54.0,49
NZ_CP009617.1,"(1912500, 1912599)",48.0,75
NZ_CP009617.1,"(1912600, 1912699)",55.0,68
NZ_CP009617.1,"(1912700, 1912799)",57.0,57
NZ_CP009617.1,"(1912800, 1912899)",43.0,76
NZ_CP009617.1,"(1912900, 1912999)",43.0,75
NZ_CP009617.1,"(1913000, 1913099)",49.0,64
NZ_CP009617.1,"(1913100, 1913199)",41.0,74
NZ_CP009617.1,"(1913200, 1913299)",51.0,61
NZ_CP009617.1,"(1913300, 1913399)",52.0,66
NZ_CP009617.1,"(1913400, 1913499)",52.0,75
NZ_CP009617.1,"(1913500, 1913599)",53.0,64
NZ_CP009617.1,"(1913600, 1913699)",51.0,89
NZ_CP009617.1,"(1913700, 1913799)",50.0,89
NZ_CP009617.1,"(1913800, 1913899)",48.0,78
NZ_CP009617.1,"(1913900, 1913999)",46.0,88
NZ_CP009617.1,"(1914000, 1914099)",49.0,92
NZ_CP009617.1,"(1914100, 1914199)",40.0,106
NZ_CP009617.1,"(1914200, 1914299)",45.0,112
NZ_CP009617.1,"(1914300, 1914399)",46.0,82
NZ_CP009617.1,"(1914400, 1914499)",51.0,70
NZ_CP009617.1,"(1914500, 1914599)",51.0,59
NZ_CP009617.1,"(1914600, 1914699)",52.0,64
NZ_CP009617.1,"(1914700, 1914799)",51.0,73
NZ_CP009617.1,"(1914800, 1914899)",49.0,63
NZ_CP009617.1,"(1914900, 1914999)",49.0,70
NZ_CP009617.1,"(1915000, 1915099)",54.0,80
NZ_CP009617.1,"(1915100, 1915199)",41.0,71
NZ_CP009617.1,"(1915200, 1915299)",44.0,66
NZ_CP009617.1,"(1915300, 1915399)",54.0,60
NZ_CP009617.1,"(1915400, 1915499)",47.0,69
NZ_CP009617.1,"(1915500, 1915599)",53.0,57
NZ_CP009617.1,"(1915600, 1915699)",55.0,68
NZ_CP009617.1,"(1915700, 1915799)",54.0,56
NZ_CP009617.1,"(1915800, 1915899)",47.0,81
NZ_CP009617.1,"(1915900, 1915999)",47.0,80
NZ_CP009617.1,"(1916000, 1916099)",46.0,91
NZ_CP009617.1,"(1916100, 1916199)",41.0,74
NZ_CP009617.1,"(1916200, 1916299)",49.0,78
NZ_CP009617.1,"(1916300, 1916399)",56.0,74
NZ_CP009617.1,"(1916400, 1916499)",51.0,82
NZ_CP009617.1,"(1916500, 1916599)",51.0,78
NZ_CP009617.1,"(1916600, 1916699)",55.0,66
NZ_CP009617.1,"(1916700, 1916799)",51.0,78
NZ_CP009617.1,"(1916800, 1916899)",51.0,66
NZ_CP009617.1,"(1916900, 1916999)",47.0,80
NZ_CP009617.1,"(1917000, 1917099)",48.0,72
NZ_CP009617.1,"(1917100, 1917199)",47.0,61
NZ_CP009617.1,"(1917200, 1917299)",50.0,53
NZ_CP009617.1,"(1917300, 1917399)",56.0,75
NZ_CP009617.1,"(1917400, 1917499)",55.0,66
NZ_CP009617.1,"(1917500, 1917599)",48.0,49
NZ_CP009617.1,"(1917600, 1917699)",50.0,56
NZ_CP009617.1,"(1917700, 1917799)",51.0,68
NZ_CP009617.1,"(1917800, 1917899)",50.0,62
NZ_CP009617.1,"(1917900, 1917999)",57.0,63
NZ_CP009617.1,"(1918000, 1918099)",43.0,73
NZ_CP009617.1,"(1918100, 1918199)",57.0,71
NZ_CP009617.1,"(1918200, 1918299)",56.0,61
NZ_CP009617.1,"(1918300, 1918399)",50.0,65
NZ_CP009617.1,"(1918400, 1918499)",51.0,67
NZ_CP009617.1,"(1918500, 1918599)",50.0,80
NZ_CP009617.1,"(1918600, 1918699)",43.0,62
NZ_CP009617.1,"(1918700, 1918799)",51.0,62
NZ_CP009617.1,"(1918800, 1918899)",49.0,80
NZ_CP009617.1,"(1918900, 1918999)",52.0,66
NZ_CP009617.1,"(1919000, 1919099)",49.0,73
NZ_CP009617.1,"(1919100, 1919199)",35.0,82
NZ_CP009617.1,"(1919200, 1919299)",36.0,67
NZ_CP009617.1,"(1919300, 1919399)",51.0,59
NZ_CP009617.1,"(1919400, 1919499)",39.0,59
NZ_CP009617.1,"(1919500, 1919599)",52.0,50
NZ_CP009617.1,"(1919600, 1919699)",52.0,61
NZ_CP009617.1,"(1919700, 1919799)",49.0,63
NZ_CP009617.1,"(1919800, 1919899)",51.0,72
NZ_CP009617.1,"(1919900, 1919999)",55.0,80
NZ_CP009617.1,"(1920000, 1920099)",47.0,88
NZ_CP009617.1,"(1920100, 1920199)",46.0,73
NZ_CP009617.1,"(1920200, 1920299)",34.0,110
NZ_CP009617.1,"(1920300, 1920399)",39.0,87
NZ_CP009617.1,"(1920400, 1920499)",42.0,99
NZ_CP009617.1,"(1920500, 1920599)",40.0,82
NZ_CP009617.1,"(1920600, 1920699)",38.0,78
NZ_CP009617.1,"(1920700, 1920799)",44.0,84
NZ_CP009617.1,"(1920800, 1920899)",41.0,80
NZ_CP009617.1,"(1920900, 1920999)",47.0,88
NZ_CP009617.1,"(1921000, 1921099)",42.0,89
NZ_CP009617.1,"(1921100, 1921199)",44.0,98
NZ_CP009617.1,"(1921200, 1921299)",45.0,98
NZ_CP009617.1,"(1921300, 1921399)",45.0,118
NZ_CP009617.1,"(1921400, 1921499)",37.0,144
NZ_CP009617.1,"(1921500, 1921599)",19.0,159
NZ_CP009617.1,"(1921600, 1921699)",17.0,140
NZ_CP009617.1,"(1921700, 1921799)",22.0,152
NZ_CP009617.1,"(1921800, 1921899)",21.0,153
NZ_CP009617.1,"(1921900, 1921999)",26.0,146
NZ_CP009617.1,"(1922000, 1922099)",34.0,144
NZ_CP009617.1,"(1922100, 1922199)",32.0,134
NZ_CP009617.1,"(1922200, 1922299)",32.0,100
NZ_CP009617.1,"(1922300, 1922399)",39.0,93
NZ_CP009617.1,"(1922400, 1922499)",45.0,110
NZ_CP009617.1,"(1922500, 1922599)",43.0,89
NZ_CP009617.1,"(1922600, 1922699)",42.0,92
NZ_CP009617.1,"(1922700, 1922799)",33.0,96
NZ_CP009617.1,"(1922800, 1922899)",37.0,97
NZ_CP009617.1,"(1922900, 1922999)",33.0,107
NZ_CP009617.1,"(1923000, 1923099)",38.0,83
NZ_CP009617.1,"(1923100, 1923199)",41.0,93
NZ_CP009617.1,"(1923200, 1923299)",38.0,74
NZ_CP009617.1,"(1923300, 1923399)",40.0,73
NZ_CP009617.1,"(1923400, 1923499)",39.0,89
NZ_CP009617.1,"(1923500, 1923599)",42.0,79
NZ_CP009617.1,"(1923600, 1923699)",44.0,70
NZ_CP009617.1,"(1923700, 1923799)",35.0,81
NZ_CP009617.1,"(1923800, 1923899)",37.0,61
NZ_CP009617.1,"(1923900, 1923999)",47.0,68
NZ_CP009617.1,"(1924000, 1924099)",48.0,84
NZ_CP009617.1,"(1924100, 1924199)",47.0,71
NZ_CP009617.1,"(1924200, 1924299)",43.0,83
NZ_CP009617.1,"(1924300, 1924399)",41.0,78
NZ_CP009617.1,"(1924400, 1924499)",42.0,59
NZ_CP009617.1,"(1924500, 1924599)",46.0,74
NZ_CP009617.1,"(1924600, 1924699)",43.0,65
NZ_CP009617.1,"(1924700, 1924799)",46.0,60
NZ_CP009617.1,"(1924800, 1924899)",52.0,53
NZ_CP009617.1,"(1924900, 1924999)",42.0,54
NZ_CP009617.1,"(1925000, 1925099)",54.0,44
NZ_CP009617.1,"(1925100, 1925199)",48.0,59
NZ_CP009617.1,"(1925200, 1925299)",57.0,54
NZ_CP009617.1,"(1925300, 1925399)",45.0,46
NZ_CP009617.1,"(1925400, 1925499)",46.0,64
NZ_CP009617.1,"(1925500, 1925599)",54.0,69
NZ_CP009617.1,"(1925600, 1925699)",50.0,74
NZ_CP009617.1,"(1925700, 1925799)",50.0,68
NZ_CP009617.1,"(1925800, 1925899)",54.0,64
NZ_CP009617.1,"(1925900, 1925999)",45.0,73
NZ_CP009617.1,"(1926000, 1926099)",43.0,73
NZ_CP009617.1,"(1926100, 1926199)",51.0,57
NZ_CP009617.1,"(1926200, 1926299)",46.0,59
NZ_CP009617.1,"(1926300, 1926399)",55.0,78
NZ_CP009617.1,"(1926400, 1926499)",45.0,65
NZ_CP009617.1,"(1926500, 1926599)",54.0,66
NZ_CP009617.1,"(1926600, 1926699)",55.0,54
NZ_CP009617.1,"(1926700, 1926799)",36.0,69
NZ_CP009617.1,"(1926800, 1926899)",53.0,64
NZ_CP009617.1,"(1926900, 1926999)",58.0,80
NZ_CP009617.1,"(1927000, 1927099)",57.0,52
NZ_CP009617.1,"(1927100, 1927199)",51.0,54
NZ_CP009617.1,"(1927200, 1927299)",51.0,62
NZ_CP009617.1,"(1927300, 1927399)",45.0,78
NZ_CP009617.1,"(1927400, 1927499)",48.0,68
NZ_CP009617.1,"(1927500, 1927599)",50.0,52
NZ_CP009617.1,"(1927600, 1927699)",54.0,68
NZ_CP009617.1,"(1927700, 1927799)",47.0,80
NZ_CP009617.1,"(1927800, 1927899)",46.0,78
NZ_CP009617.1,"(1927900, 1927999)",49.0,61
NZ_CP009617.1,"(1928000, 1928099)",50.0,76
NZ_CP009617.1,"(1928100, 1928199)",50.0,55
NZ_CP009617.1,"(1928200, 1928299)",53.0,76
NZ_CP009617.1,"(1928300, 1928399)",54.0,67
NZ_CP009617.1,"(1928400, 1928499)",55.0,94
NZ_CP009617.1,"(1928500, 1928599)",44.0,86
NZ_CP009617.1,"(1928600, 1928699)",42.0,79
NZ_CP009617.1,"(1928700, 1928799)",44.0,87
NZ_CP009617.1,"(1928800, 1928899)",42.0,67
NZ_CP009617.1,"(1928900, 1928999)",29.0,109
NZ_CP009617.1,"(1929000, 1929099)",24.0,90
NZ_CP009617.1,"(1929100, 1929199)",37.0,89
NZ_CP009617.1,"(1929200, 1929299)",48.0,50
NZ_CP009617.1,"(1929300, 1929399)",53.0,61
NZ_CP009617.1,"(1929400, 1929499)",52.0,75
NZ_CP009617.1,"(1929500, 1929599)",52.0,57
NZ_CP009617.1,"(1929600, 1929699)",54.0,56
NZ_CP009617.1,"(1929700, 1929799)",50.0,68
NZ_CP009617.1,"(1929800, 1929899)",48.0,74
NZ_CP009617.1,"(1929900, 1929999)",45.0,42
NZ_CP009617.1,"(1930000, 1930099)",50.0,73
NZ_CP009617.1,"(1930100, 1930199)",53.0,63
NZ_CP009617.1,"(1930200, 1930299)",49.0,61
NZ_CP009617.1,"(1930300, 1930399)",50.0,71
NZ_CP009617.1,"(1930400, 1930499)",50.0,71
NZ_CP009617.1,"(1930500, 1930599)",52.0,80
NZ_CP009617.1,"(1930600, 1930699)",47.0,86
NZ_CP009617.1,"(1930700, 1930799)",50.0,65
NZ_CP009617.1,"(1930800, 1930899)",56.0,81
NZ_CP009617.1,"(1930900, 1930999)",50.0,39
NZ_CP009617.1,"(1931000, 1931099)",43.0,0
NZ_CP009617.1,"(1931100, 1931199)",28.0,1
NZ_CP009617.1,"(1931200, 1931299)",37.0,0
NZ_CP009617.1,"(1931300, 1931399)",48.0,0
NZ_CP009617.1,"(1931400, 1931499)",49.0,0
NZ_CP009617.1,"(1931500, 1931599)",45.0,0
NZ_CP009617.1,"(1931600, 1931699)",51.0,0
NZ_CP009617.1,"(1931700, 1931799)",47.0,0
NZ_CP009617.1,"(1931800, 1931899)",50.0,0
NZ_CP009617.1,"(1931900, 1931999)",39.0,0
NZ_CP009617.1,"(1932000, 1932099)",46.0,0
NZ_CP009617.1,"(1932100, 1932199)",50.0,0
NZ_CP009617.1,"(1932200, 1932299)",52.0,0
NZ_CP009617.1,"(1932300, 1932399)",44.0,0
NZ_CP009617.1,"(1932400, 1932499)",53.0,0
NZ_CP009617.1,"(1932500, 1932599)",43.0,0
NZ_CP009617.1,"(1932600, 1932699)",53.0,0
